professeur_id	annee_id	trimestre_id	module_id	nom_module	note_obtenue	description_module
1	1	1	1	I117 : Mettre en place l'infrastructure informatique et réseau d'une petite entreprise	3.5	I117,Mettre en place l'infrastructure informatique et réseau d'une petite entreprise : Concevoir et installer le réseau, configurer le matériel, gérer les services réseau et assurer la documentation.
6	1	3	2	I122 : Automatiser des procédures à l’aide de scripts	5	I122,Automatiser des procédures à l’aide de scripts : Créer, tester et documenter des scripts pour automatiser des tâches répétitives dans un environnement système.
4	1	1	3	I162 : Analyser et modéliser des données	4.5	I162,Analyser et modéliser des données : Collecter, nettoyer et organiser les données, créer des modèles conceptuels et logiques pour représenter les informations.
4	1	3	4	I164 : Créer des bases de données et y insérer des données	4	I164,Créer des bases de données et y insérer des données : Implémenter un modèle de données, créer des tables, insérer et vérifier l’exactitude des données.
20	1	3	5	I231 : Appliquer la protection et la sécurité des données	5	I231,Appliquer la protection et la sécurité des données : Classifier, sauvegarder, restaurer et sécuriser les données selon les normes et régulations en vigueur.
7	1	2	6	I293 : Créer et publier un site Web	5	I293,Créer et publier un site Web : Concevoir, développer et publier un site web en respectant l’ergonomie, le design, le référencement et la sécurité.
5	1	2	7	I319 : Concevoir et implémenter des applications	2.5	I319,Concevoir et implémenter des applications : Développer des applications fonctionnelles selon les besoins, tester et documenter les solutions logicielles.
3	1	2	8	I431 : Exécuter des mandats de manière autonome dans son propre environnement professionnel	3.5	I431,Exécuter des mandats de manière autonome dans son propre environnement professionnel : Planifier, organiser et réaliser des projets en autonomie, documenter et présenter les résultats.
1	1	1	9	C187 : Mettre en service un poste de travail ICT avec le système d'exploitation	3.5	C187,Mettre en service un poste de travail ICT avec le système d'exploitation : Installer, configurer et maintenir un poste de travail avec le système d’exploitation et les logiciels requis.
10	2	5	10	I320 : Programmer orienté objet	4.5	I320,Programmer orienté objet : Concevoir et développer des applications en utilisant les principes de la programmation orientée objet, incluant classes, héritage et polymorphisme.
13	2	5	11	I322 : Concevoir et implémenter des interfaces utilisateur	5	I322,Concevoir et implémenter des interfaces utilisateur : Créer des interfaces ergonomiques et fonctionnelles, tester et documenter les composants graphiques.
4	2	5	12	C106 : Interroger, traiter et assurer la maintenance des bases de données	5.5	C106,Interroger, traiter et assurer la maintenance des bases de données : Écrire des requêtes SQL, gérer les transactions, assurer l’intégrité et la sécurité des bases de données.
7	2	5	13	C107 : Mettre en œuvre des solutions ICT avec la technologie blockchain	5	C107,Mettre en œuvre des solutions ICT avec la technologie blockchain : Déployer et gérer des solutions blockchain, écrire des smart contracts et sécuriser les transactions.
11	1	4	14	I123 :Activer les services d’un serveur	4	I123,Activer les services d’un serveur : Installer et configurer les services serveur (DNS, DHCP, AD), gérer les utilisateurs et assurer la sécurité des services.
10	1	4	15	I306 : Réaliser de petits projets dans son propre environnement professionnel	5.5	I306,Réaliser de petits projets dans son propre environnement professionnel : Planifier et exécuter de petits projets, documenter les résultats et coordonner le travail en équipe.
8	1	4	16	C216 : Intégrer les terminaux IoE dans une plateforme existante 	6	C216,Intégrer les terminaux IoE dans une plateforme existante : Configurer et connecter des terminaux IoE, sécuriser les données, tester l’intégration et documenter la solution.
