professeur_id	annee_id	trimestre_id	module_id	projet_id	nom_projet	description	nb_periode	resultat	remediation	pourcentage_resultat	bareme	date_projet_debut	date_fin_projet
1	1	1	9	1	p_soutien C187	Projet de soutien au module C187 et à son projet P_SYS du C187. Seuls les critères : - Autonomie - Processus de travail sont évalués.							
2	1	1	1	2	p_soutien 117	Mise en place de machine virtuelle et PacketTracer : Seuls les critères : - Autonomie - Processus de travail sont évalués.							
3	1	1		3	p_office	Réalisation d'un portfolio numérique contenant les informations importantes de votre formation							
4	1	2		4	p_soutien 162	Démontrer son autonomie et la qualité de son processus de travail dans le cadre du module 162. Seuls les critères : - Autonomie - Processus de travail sont évalués.							
5	1	2		5	p_soutien 319	Soutien au module 319 - Concevoir et implémenter des applications avec C#							
5	1	2		6	p_prog : Puissance 4	Petit programme permettant de jouer au jeu de puissance 4 en mode console. Thèmes abordés : • Les itérations, les conditions, les opérateurs, les conversions • Les méthodes, variables et constantes • Les couleurs, le formatage de string, tableau à 2 dimensions							
4	1	2		7	p_db 162 Analyse d'informations personnelles	Réaliser une analyse détaillée d’informations personnelles (temps d’utilisation d’écrans ou d’outils numériques).							
4	1	3		8	p_soutien 164	"Soutien pour le Module 164 ""Créer des bases de données et y insérer des données"""							
6	1	3		9	p_script 122 Sysinfologger 	Ce projet vise à la création d'un script utilitaire permettant d'obtenir diverses informations sur son ordinateur ou un ordinateur distant.							
7	1	3		10	p_webDB 293 Crée et publier un site Web statique	Implémentation d'un site web statique en HTML5/CSS3							
7	1	3		11	p_soutien 293	Démontrer son autonomie et la qualité de son processus de travail dans le cadre du module 293. Seuls les critères : - Autonomie - Processus de travail sont évalués.							
8	1	4		12	p_sys 216 SmartHome2	Le projet consiste à mettre en place différents scénarii sur une maison connectée à travers un kit prototype « KeyeStudio Smart Home Kit with PLUS board for Arduino DIY STEM							
10	1	4		13	p_gestion de projet	Gestion de projet en lien avec le module 306							
12				14	POO Shoot'em UP	Jeu de tir à la troisième personne...							
13				15	p_322 UX 	Concevoir et prototyper un site web responsive (desktop, smartphone) destiné à promouvoir un festival étudiant.							
4				16	p_db 106	P_DB 106 est le projet en lien avec le module C106 Interroger, traiter et assurer la maintenance des bases de données.							
7				17	p_114 Couteau Suisse	"Le projet ""Couteau Suisse"" consiste à développer progressivement une application console en C# qui regroupe plusieurs petits outils utilitaires liés aux notions de codification, de compression et de sécurité vues durant le module 114."							
14				18	p_bulle_dev Exercice JavaScript	Ce projet contient une série de petits exercices en JavaScript moderne (ESM), conçus pour des débutants complets. Chaque exercice est accompagné de tests unitaires automatisés avec jest, pour valider que la solution fonctionne correctement.							
				19	p_soutien 123	Projet de soutien au module 123. Seuls les critères : - Autonomie - Processus de travail sont évalués.							
				20									
				21									
				22									
				23									
				24									
				25									
				26									
				27									
				28									
				29									
				30									
				31									
				32									
				33									
				34									
